232:7752,23961,50038,123227,113712,118389,107510,107989,111953,477
238:441,2703,5169,4626,9093,8019,42903,119188,107267,15896
241:361,568,4268,3599,1402,7010,3651,59125,62118,47723
245:90172,11835,12895,8906,47674,118135,122210,114452,111619,80508
249:13789,32604,29134,18414,7826,74774,61209,33702,69258,80425
250:1995,8100,9445,56150,23353,19704,37536,73137,113391,92034
253:3162,1760,2704,13625,43530,97120,41814,62446,88884,70451
257:3234,6996,4275,51293,18904,43205,102833,78795,80362,84486
272:57626,17631,52773,43205,121514,84486,102410,103794,78795,94227
273:1372,8187,8216,75141,74002,81256,81741,52610,106251,111345
288:1603,2953,1587,8746,20409,21537,54152,79131,79197,18451
290:1644,1449,14617,3751,6674,42888,58658,18955,51665,18901
291:1097,6157,1927,15697,5315,18578,28613,111576,95423,64496
292:402,749,1097,42621,16278,64129,106318,64496,108256,46035
294:6836,1728,1890,2571,2158,27487,50711,28767,29889,92733
328:1549,2935,6455,1902,16625,71089,43507,123082,102410,94227
331:1568,4326,19264,34358,29927,8271,74191,122735,68681,88401
345:805,16881,11281,1754,77581,62840,11401,28511,83173,92129
361:3563,91394,77490,68865,21542,123026,82877,94314,86274,20945
376:17,302,1102,495,2121,407,30613,116852,59691,90310
384:431,4187,1568,34358,29927,68681,117318,74747,9402,104162
401:1057,6836,297,660,1728,9902,27487,38380,67934,23931
402:591,1822,205,966,673,1890,2571,2158,29889,92733
410:3599,2153,8860,4339,10267,1546,23370,31006,25717,85287
448:4326,10534,19264,18172,70960,74191,102410,27102,88401,94227
449:76,8,84,518,698,422,3348,10442,20551,29741
450:1245,1276,3177,11535,1890,29889,3056,28672,122437,92733
452:74916,15808,50599,27310,36183,56536,86436,112343,433,85485
476:2935,5996,2600,11367,59439,111590,6257,85577,100813,5636
488:1344,429,495,1305,193,612,396,37552,16474,44336
490:861,591,2326,2571,2158,14626,72085,99556,67237,92002
494:1790,8252,1890,23867,29889,32408,91182,107230,92733,41303
500:2512,1050,2369,10,12586,24536,22811,33822,42032,60611
514:6996,18287,4293,26403,10835,21981,11342,12080,12070,79733
525:402,268,1389,1057,8579,3001,8151,18285,52986,108412
535:837,4326,7560,14626,4080,19264,393,88401,99556,74191
536:574,7711,2888,8414,9709,11917,28282,104462,96422,94133
538:1097,8069,9581,12522,22075,89170,9786,92365,84521,64496
539:1344,1276,353,2512,710,2233,42032,4594,60611,121319
564:17,302,58,866,289,431,4993,70633,16940,10760
582:155,2369,3824,4210,10,2013,15334,78895,102410,94227
585:699,373,13167,75762,78474,86933,103383,28748,49382,113567
590:301,568,45,1549,2935,6455,16625,71089,102410,94227
601:105155,75023,90819,118676,31717,94414,121234,121660,90054
618:4292,2430,8566,21537,21524,51468,19565,29446,76355,33101
624:48,1187,2687,297,660,3190,27045,27444,15450,106498
627:5512,11539,32661,18727,33972,96454,69037,101498,66294,40498
628:9883,31954,82008,608,6526,21488,65861,75280,84119,39233
632:10070,9015,75558,6734,8453,91085,104103,72990,120780,93353
633:76,616,58,236,62,554,3234,422,6996,33407
634:12734,2423,45095,54545,37042,37670,30486,14250,86707,33101
646:431,1069,1730,8218,51199,42552,15568,85204,46779,90827
666:69932,98421,120506,95053,90366,119631,10791,51552,110659,31406
667:3599,22,2342,9800,6387,23370,30791,31808,19937,119768
669:43919,14435,111861,13821,46165,29019,22808,117496,93527,16439
678:1119,182,116,690,1693,2579,4499,3839,22114,65437
680:749,1089,2512,1050,2369,22811,42032,115715,60611,80859
681:8700,8273,30736,26488,14858,17102,97407,81872,30561,112433
682:7235,30736,17263,8079,27588,10486,9577,64764,53074,39032
683:27552,20249,67212,112287,69187,122777,71448,116723,97127,118072
684:4672,16996,5966,17291,6211,75271,16993,103731,52308,19362
715:17967,1753,27593,74696,25188,91951,122280,72609,87845,54277
716:8156,12539,12611,10172,30782,41060,116108,93532,111104,49404
741:10291,10406,30736,8079,10486,14435,31006,111861,25717,85287
750:187,13523,10850,12298,51671,37947,122144,79889,58427,108358
754:497,9247,37710,67984,17270,36979,27881,63375,65520,90226
756:1357,43205,120928,84486,5778,102410,1961,78795,109530,94227
757:179,6545,8095,263,9580,4843,45339,23838,99741,477
758:11887,7153,6680,17581,5107,11732,123113,79244,118650,17518
763:578,1374,2399,17925,5562,20913,23454,23983,59691,93345
773:11666,16950,14176,8363,19161,92331,22828,38907,89290,26826
774:5550,38737,62447,40709,34358,29927,68681,24816,118068,78394
775:565,4993,1153,2571,2158,635,101964,94242,7845,28164
782:7160,10510,3461,24642,1048,28322,60415,7774,117622,44874
784:331,2602,6007,6582,19570,3064,72928,6438,23891,113918
793:13203,11396,18114,27447,1734,16911,66073,10959,16947,41045
803:17,1119,2162,7827,7127,72524,66148,57100,78871
813:763,41884,38982,44216,19739,34639,16171,121928,90947,17832
815:9043,3183,17186,6489,29719,15181,52200,122919,50507,52056
817:302,616,224,138,486,3144,4813,578,23030,24600
818:8860,10267,7235,7426,31006,64764,85287,53074,39032,25717
823:931,1164,1009,1039,9874,8252,135,6166,7635,32014
825:2342,2153,3167,11887,7153,6680,11732,20664,436,26729
833:787,431,2369,2770,3347,4573,28767,47915,30502,77475
835:660,3123,4063,33022,74493,62828,102410,103728,101077,94227
838:2265,8066,1902,2328,7418,11367,30272,74588,80190,59054
844:1009,2571,2158,77490,39554,21542,82877,60245,123026,20945
850:500,431,1730,2318,278,14003,25585,35902,100453,94397
856:430,1131,3599,4017,4339,1546,23370,88388,122093,53934
857:616,58,70,518,698,1382,5084,7642,73635,92002
874:110350,94685,4581,74506,120545,42921,76975,45833,58091,38821
891:1089,1578,1009,827,77490,21542,96891,123026,82877,20945
899:367,22365,34358,42965,29927,21156,68681,14579,85300,110444
900:16155,30230,10342,29808,78686,31421,12851,79874,25056,51732
911:168,1744,14626,17024,6680,19530,5028,108358,84531,49865
918:2139,7223,15512,38892,25552,17370,119300,61087,60893,113103
925:48611,70772,89454,61003,80485,48844,89711,76196,60730,48437
926:2636,10173,30284,22828,89290,54259,81605,46124,102410,94227
937:616,224,354,101,591,917,22862,53675,23030,120384
949:
964:774,2714,2696,2403,3207,93717,19729
970:2656,5010,14636,9093,50946,36227,26157,50760,116694,83571
977:6963,21360,13538,44576,106741,123120,54875,72877,119977,45877
981:13055,75144,61789,82818,90790,121023,120983,3359,55307,99108
982:736,2162,1187,875,1389,1057,8579,8151,52986,108412
984:2233,1539,3288,7006,4021,3214,1677,4156,12699,4594
992:1787,6733,2528,16935,7716,2354,33017,24053,2991,60907
993:1009,21542,43205,77490,123026,84486,102410,78795,82877,94227
998:236,273,749,155,2369,1097,10,2013,15334,64496
1000:1709,15919,76413,43205,34310,120452,78795,65437,84486,74519
1007:354,301,899,1119,719,1884,1890,29889,92733,62932
1027:10267,854,23793,31006,18501,89617,25717,92284,85287,98279
1028:1568,2669,6840,8194,37121,34358,29927,68681,64496,43766
1044:4320,9245,324,2674,96699,58621,98204,7896,29195,34237
1045:58,70,1314,30230,31421,43205,12851,78795,84486,73635
1049:4292,2430,8566,21537,21524,51468,19565,29446,76355,122788
1068:115213,16803,60140,114884,89176,91709,59225,98321,62803,45275
1069:70,1890,21524,51468,45076,29446,29889,76355,92131,92733
1070:28194,9905,6268,39400,93265,59599,37245,112844,107122,68963
1082:5693,3878,17376,10015,12781,7553,36680,24484,52774,55603
1083:225,124,1884,3304,2076,15141,23414,1034,53428,71491
1088:1382,5084,2816,6311,9617,7642,12404,28767,26070,47439
1094:354,301,899,1119,947,2162,719,2140,1884,6438
1116:7553,108894,36680,108768,119666,24484,72110,102410,52774,94227
1121:736,1690,678,230,1589,4913,40878,99297,82413,70332
1125:698,2139,358,986,5260,3167,22365,12706,45076,92131
1127:14626,17024,38243,5028,66616,49865,116295,39421,84531,114956
1132:1357,1220,2571,2158,18532,12626,73372,75308,51946,33101
1133:10163,5450,16174,48784,11539,44945,39554,73103,50163,60245
1140:26748,10254,13576,10085,9740,112959,38330,77686,82275,115188
1141:9594,2480,20786,37342,1005,70654,78671,62071,101253,53944
1148:19135,16043,68868,65678,97490,80692,106272,28208,13802,105122
1153:236,262,500,483,9289,6143,7021,27666,31038,104284
1163:
1166:2292,2579,4499,3839,18239,6127,23323,22114,110339,65437
1172:660,1890,11887,7153,6680,3123,11732,29889,62828,92733
1192:650,861,358,495,709,193,2094,143,12157,62990
1204:1127,1402,7210,54,447,913,7010,13523,62118,47723
1208:2526,7459,14176,75191,45996,58577,22828,89290,33470,117247
1209:840,1131,13863,2534,4065,43030,30746,92228,60893,42299
1234:31633,811,14307,6022,32910,41447,18676,105574,59622,49070
1236:2579,4499,3196,3839,5111,14793,8454,22114,65437,61635
1245:2579,4499,6455,3839,16625,71089,22114,102410,65437,94227
1263:302,6,486,3223,1357,45527,4100,28160,26664,113567
1267:101,322,861,495,193,1046,2094,3795,14985,85195
1269:1352,189,1712,12990,8848,1923,24581,19697,35625,54689
1288:1219,18946,67016,84658,79703,4835,73836,122604,71916,113752
1295:2669,6840,8194,37121,62305,81730,40541,107634,44884,46637
1296:1677,12442,1868,58540,69276,43205,114761,78795,84486,45056
1302:12722,15573,11887,17265,7153,6680,450,11732,46218,79746
1305:2030,1550,510,1136,1685,17480,3582,110255,50151,16094
1342:155,86,1097,6157,1927,15697,5315,22441,64496,6212
1382:3971,13407,5112,9019,63474,67013,76428,105781,27600,68926
1389:40853,61636,109043,33995,94835,36171,71576,95032,85140,56417
1391:26376,38549,104871,66418,62593,89015,118847,121315,116500
1397:348,2379,12727,9621,29217,62345,68545,113623,31522,88584
1402:7010,17990,10236,9877,11824,18102,47723,62118,102410,94227
1405:2172,392,4912,92558,81412,78890,111124,96890,83550,24722
1407:4275,1217,5350,1920,32817,351,46774,79666,12400,122387
1408:273,749,2342,1097,1359,653,10616,3433,85639,64496
1409:605,247,21542,77490,52946,102410,29077,82877,123026,94227
1412:7959,7802,5640,5459,27211,5342,2491,116319,61969,14407
1413:301,1245,5169,3216,3383,53,6918,11154,16124,28767
1418:76,58,70,698,353,1402,1951,45076,55190,92131
1419:1712,1760,6434,1923,24581,11679,62771,112487,97750,35175
1420:5581,7959,5640,3183,5459,27211,5342,52200,52056,116319
1427:2073,8016,4912,74922,89328,81412,37992,83550,111124,102281
1430:4326,14220,17800,10258,7907,1345,24893,19264,74191,88401
1431:1102,698,1382,4364,5084,7642,109530,118068,5778,92002
1435:8,84,1102,1245,11154,15364,75562,102410,14832,94227
1437:2069,22569,14993,26504,6003,46063,84829,74506,4581,36481
1441:95475,111336,104761,19443,94001,120579,90179,101494,28307,99349
1447:2275,1220,2917,377,8321,27241,2134,47079,32615,21660
1448:1099,1786,3148,332,13895,8153,25755,50229,30581,67649
1457:581,5145,11535,810,11666,4013,5809,58981,38376,59568
1458:1181,1339,3839,25489,22114,43239,26931,64649,61325,65437
1469:48,875,3159,10707,35257,3565,77331,35627,80017,98938
1477:9289,3162,3819,8111,18953,11563,18143,97120,72990,62446
1486:1867,14,19712,42978,122333,116897,121845,93473,86386,86161
1490:866,32,431,347,2579,4499,9043,3839,29719,22114
1491:953,1267,6129,40538,11356,16127,4384,28413,61092,73635
1500:2967,3423,9580,7103,32473,7027,13041,50649,9181,58511
1503:16258,14626,12329,107987,42204,43205,84486,99556,78795,80670
1517:19617,9294,37458,27097,121719,80218,123071,95331,111233,95964
1518:15823,19925,29822,56348,6212,28819,100588,76798,100601,83571
1535:84,1102,1245,3288,3214,1677,11154,28767,8506,24961
1551:866,361,5465,23263,18904,43205,66562,84486,80589,78795
1552:9095,29723,36757,54372,19245,10698,10906,15294,119699,110189
1553:2552,5260,8100,23353,19704,56150,34358,37536,29927,68681
1559:2430,8566,21537,21524,51468,19565,29446,76355,102410,94227
1560:2557,1886,4421,960,16332,1815,39742,22605,69971,117753
1561:155,2668,26241,25763,10413,118531,114744,93842,94095,70039
1562:1009,21542,43205,77490,123026,84486,102410,78795,82877,94227
1569:201,7019,5254,3756,11969,1537,17317,16967,52815,61052
1570:4797,8454,6417,12993,2256,82969,4327,10900,97302,85435
1588:10217,11664,53,19786,50311,91208,79226,97112,114073,109588
1589:3183,20506,42489,12695,52200,52056,120928,46462,1961,55603
1591:27652,62108,26789,26501,64226,2752,81345,55584,79070,69776
1601:10707,10349,9490,33639,35257,8363,31201,16192,15723,26826
1602:29022,31654,35859,2727,98853,76017,36119,72845,12900,48293
1629:10163,702,11887,7153,9095,42208,6680,11732,40646,60311
1634:83050,28136,80190,44441,113965,111449,102369,79654,98593,121295
1642:2139,591,4292,8566,2571,2158,21524,51468,29446,76355
1653:518,698,861,1382,495,193,5084,2094,7642,92002
1654:841,25652,43418,10818,4267,12350,34115,19177,4594,59691
1655:1951,5542,2495,2571,2158,10047,20257,4934,104261,113567
1668:17642,7775,32987,39331,66713,88737,34818,87731,19141,43907
1681:2953,2076,2480,20786,15764,22684,70654,78671,23910,101253
1703:2495,3214,1677,10047,20257,34379,38134,21621,43618,93141
1721:2526,15861,9154,15334,6662,21595,60527,40513,34700,119968
1727:24429,15888,3123,1868,58540,69276,45056,62828,43741,114761
1728:70,1403,12727,30828,5004,111789,102410,73635,95797,94227
1745:2552,5260,8100,7716,2991,56150,19704,23353,37536,60907
1746:128,5346,22726,9319,28362,18960,42906,77857,103625,57361
1751:3509,2950,2351,4103,9617,61774,72372,70794,102410,94227
1756:81,859,2937,5553,1180,11811,71464,26543,91784,75418
1758:1730,1220,2032,2557,3501,10849,1487,22605,69971,118068
1761:1539,3704,3819,5381,8111,10995,7372,42009,72990,105997
1767:2696,2403,1524,1890,7027,43205,29889,78795,92733,84486
1779:17395,67185,56748,65741,93097,93631,37843,103533,86913,1674
1780:42440,3041,13960,10246,67574,48208,88524,104391,49329,120791
1783:6,892,395,6011,34026,8271,57231,2355,42999,122735
1787:2655,5746,2656,9507,92132,78606,96711,116931,118317,99301
1788:986,1460,5738,5287,4292,17186,17894,29848,61338,122919
1794:10047,20257,17396,4403,34379,38134,60637,21621,93141,43618
1796:4187,1568,1787,2528,16935,2354,28767,34358,29927,68681
1803:35768,52139,16376,54221,29889,104054,92733,116416,57825,39243
1820:1352,2579,4499,3839,24581,46338,22114,65437,53057,54689
1821:431,422,5998,7210,965,2927,20012,9956,10460,105342
1822:2233,4697,1030,1951,93590,4594,111934,76522,61915,38617
1823:289,273,1344,1276,353,2233,1152,4497,31425,4594
1840:3630,26996,21250,74861,53588,35999,77447,121898,28964,116852
1841:14226,7235,17263,9375,13997,27588,9577,64764,39032,53074
1842:6,236,430,6011,4017,34026,122093,42999,57231,2355
1850:4483,34379,22062,56868,5778,93067,65844,44939,109530,34247
1853:2312,998,6765,1920,8419,31342,63238,58042,85721,22709
1854:2897,660,3123,13515,2541,40771,31646,62828,67335,119949
1862:2947,1979,11803,4772,9360,22792,12161,20495,102410,94227
1880:48,875,1359,2387,3565,77331,35627,98938,85188,80017
1883:224,354,899,48,1187,297,660,23030,106498,123077
1890:363,1089,2512,1050,2369,11003,22811,42032,60611,32730
1891:2790,2636,10173,30284,98204,46124,54259,7896,81605,29195
1893:5738,1402,1951,6003,74506,4581,84829,55190,102410,94227
1894:519,35482,3276,39732,10931,41076,97677,48003,104977,94243
1911:22420,13581,26476,78658,38585,29654,29727,4016,106596,109978
1912:3214,1677,10813,9043,14979,8995,29719,14019,40124,100920
1913:2233,18062,8162,16819,33158,1191,42908,4594,81005,48773
1930:840,1131,13863,2534,6754,3370,109246,112411,76536,116242
1932:119300,90909,89495,107029,61087,116816,94366,102805,113103,54358
1950:568,2953,5553,2076,660,2790,28767,16251,68859,70144
1951:63173,16472,65588,99921,36996,105586,115025,116860,60195,107712
1952:6,3235,2953,6011,910,2076,34026,2355,57231,42999
2005:224,354,17376,23030,44555,74002,81256,52610,113311,111345
2017:13894,23213,47586,16715,11246,107733,58208,44039,123006,101380
2025:72179,18781,70729,88737,94211,90630,77172,92686,111350,111627
2030:4996,1393,3374,16404,8667,12876,1891,12298,37947,58427
2034:1965,6186,41216,32130,62771,108070,22904,106021,35175,89084
2038:45,131,2739,3476,9929,3582,25022,12222,101235,96315
2046:5522,27296,7302,29970,8038,74287,75940,57722,116782,76398
2058:14314,12597,17944,48176,27678,83082,88234,105988,48197,121818
2068:1832,1357,1220,5398,20458,4156,6122,60834,121024,88092
2070:43577,13580,6104,3421,2113,8956,33094,40457,11183,8000
2071:2514,16476,59757,83483,82820,102410,92338,91335,14295,94227
2072:875,28613,69902,111576,100225,73566,102410,95423,35243,94227
2074:14068,31627,67965,77102,61911,64086,71750,40495,87295,108560
2075:1245,908,673,701,2950,2160,11154,28767,12191,38812
2076:
2077:15325,48138,77490,21542,94791,82877,123026,115177,87957,20945
2080:40796,18285,30346,97573,21573,35108,5695,20499,52113,33166
2085:18578,38243,5028,84531,104013,39421,49865,120397,116295,78135
2097:5084,8052,7642,7067,23071,56168,121801,79837,104791,92002
2112:8860,1991,10267,4012,30438,94397,25717,35902,85287,100453
2115:327,1372,2251,2246,26299,5888,35030,47812,96520,38555
2116:899,2162,1187,875,1951,20333,27045,61915,38617,111934
2123:13917,3183,52200,10748,52056,21945,92178,60642,321,33101
2135:10163,3756,403,14174,16357,65128,39554,60245,75350,33101
2141:3105,1989,16258,17438,32294,37509,27673,77849,109634,65080
2147:13203,6059,16788,25707,27447,16911,19578,80504,26174,110203
2154:5183,2642,2103,6063,15720,4672,1263,13012,15751,104943
2160:58,15,1245,2901,13241,5996,12482,16371,72085,67237
2162:2833,3376,8700,8273,7426,26488,74002,81256,52610,111345
2170:52581,8948,55215,53538,26644,100148,67253,57277,59144,75727
2177:27047,54962,80950,17917,85585,84388,46155,6392,49803,6114
2184:1287,1152,4880,2980,2765,4497,5961,7019,31425,82409
2185:22062,11007,56868,14133,61584,122919,118519,104318,61175,34247
2187:
2211:840,1205,4453,827,8069,3913,5966,17291,5496,42285
2223:10291,10406,14435,111861,113103,29019,61087,117496,119300,16439
2243:3618,1875,1340,4421,9093,8019,119799,15896,42903,119188
2244:1822,1730,2032,1589,5260,2433,4261,10849,1487,85927
2247:26133,114761,84262,117207,80781,45056,14441,93312,32753,86674
2250:17990,11255,2155,12272,19337,12812,25018,57782,122116,99751
2253:8928,3123,8039,41268,13055,119300,61087,62828,113103,33101
2260:
2261:354,508,931,4326,19264,43530,23030,74191,88401,111503
2262:
2290:1374,11887,7153,5562,6680,11732,23454,15325,112990,93345
2291:285,1099,3448,5969,10349,32000,16192,62772,59188,39243
2293:4613,263,11295,20931,97499,71420,117529,97120,62446,19593
2301:83587,94232,110025,101420,103684,104127,121937,97413,108161,85441
2302:58,8,245,22308,16229,39395,15642,70923,63084,103752
2304:19712,42978,122333,74002,81256,121845,52610,93473,111345,86386
2318:226,294,4032,5303,19274,29757,110234,73519,4524,22884
2325:65,1208,1412,9580,7103,32473,9181,58511,102410,94227
2335:6026,7153,6680,20969,11732,19452,66252,81682,109300,80682
2343:16833,26302,17352,53364,67459,50020,26523,28533,73935,106917
2346:70,698,2139,358,986,3167,22365,12706,45076,92131
2347:100001,67268,78137,24792,109758,114024,90201,95841,122349,78503
2348:899,48,1187,1372,297,660,106498,106251,75141,81741
2362:
2363:1357,430,6011,1277,34026,31802,28858,42999,57231,2355
2364:678,3448,5260,5969,4138,32817,59188,62772,102410,94227
2369:4275,3167,22365,12706,51293,45076,80362,92131,102833,113727
2373:358,986,273,749,1097,3167,22365,12706,28767,64496
2381:10141,67109,5126,54094,28783,99981,52480,83570,95501,119611
2382:5000,2007,7682,30538,30412,36808,87998,111498,76624,58476
2384:48,4275,51293,3565,77331,35627,80362,102833,80017,98938
2385:10173,34026,30284,74922,42999,81605,54259,2355,46124,57231
2392:
2393:297,6996,660,18816,49874,15711,74922,92287,106498,108197
2394:14003,3756,403,14174,3755,25585,16357,65128,48236,75350
2395:302,654,138,736,2953,2076,118317,96711,59691,78606
2399:25755,14993,15376,47950,10602,50229,6003,84829,74506,4581
2405:1888,10985,17546,21970,78050,7852,47043,11099,41287,36062
2407:866,500,1348,431,5663,10039,3568,25230,18287,79519
2408:301,568,45,1549,2935,6455,16625,71089,102410,94227
2419:5017,717,3216,2447,13246,17224,11132,13874,44167,36009
2429:14003,13817,25585,23434,80828,117166,112262,63236,115143,57360
2447:29889,43205,78795,42999,102410,57231,2355,92733,84486,94227
2452:48061,2282,10127,12832,30791,27927,24481,77590,25216,95533
2453:11941,13396,5523,20408,71417,23740,29657,123316,2283,110105
2454:1760,1206,12990,8848,1923,3786,19697,35625,30779,97750
2456:7298,14597,67137,9403,56465,43205,78795,66613,84486,64125
2461:7153,10047,20257,6680,11732,34379,38134,21621,93141,43618
2464:1412,1009,9580,7103,77490,21542,123026,82877,58511,20945
2465:58,6,6011,34026,43205,84486,42999,57231,78795,2355
2469:5725,3360,3183,1909,52200,6522,81262,122710,58639,52056
2489:19712,17263,27588,9577,42978,122333,121845,93473,86386,86161
2491:2319
2499:1097,670,6489,94428,112505,99157,92989,7689,103105,113037
2500:9594,3839,4261,41687,22114,112291,53917,106202,32882,65437
2501:19687,6278,775,22827,35327,56559,104925,107206,113023,73341
2505:2014,585,79683,84568,35027,120275,68305,51222,64496,49608
2510:4065,30139,40898,43030,30746,16439,117496,92228,29019,42299
2515:8554,29209,11543,37186,29220,115680,116441,28254,53800,30523
2518:500,2265,1822,8384,2032,10012,10849,1487,31733,112770
2520:4456,3184,3661,5025,5471,10680,12052,78144,81494,78549
2521:15976,75642,26500,21498,32956,4375,82315,59440,122893,85239
2524:902,1499,6157,11535,937,11351,2368,14882,114974,73635
2536:62400,58765,102556,42999,88378,107105,57231,113076,118896,2355
2541:1344,1276,353,3307,7827,9894,22026,4594,82903,110481
2547:749,1476,4453,16487,92626,95457,115715,94263,80859,75327
2553:219,6379,371,1335,3912,50469,30359,39490,90352,63200
2558:45,719,225,1326,5169,485,4940,12056,17102,81348
2560:5650,6290,79964,102850,6734,104103,91085,120780,100964,66030
2563:502,17581,5107,6575,18492,12760,53337,123113,79244,118650
2573:17,58,2582,12637,23948,43205,102096,84486,1675,78795
2591:327,698,1126,1890,26241,25763,29889,70039,118531,92733
2596:224,273,1357,1277,13780,18187,28858,31802,43808,55709
2597:357,3144,6503,6545,10071,7422,18788,3589,20862,33101
2601:1077,1331,12663,3010,1005,82555,75781,81594,62071,14669
2604:6906,9662,9095,14404,41386,80521,74238,90360,18758,33101
2611:16258,14626,12329,107987,32872,42204,87758,80670,99080,99556
2612:2935,1444,6503,530,4299,5239,6598,33847,17500,99476
2615:1030,1960,612,5169,8016,6613,94927,104285,102410,94227
2625:1825,1787,6108,2528,16935,7716,2354,2991,8117,60907
2626:1890,13975,1591,25829,7251,5449,29889,42386,109790,92733
2634:52902,73674,32016,86942,57380,114865,98281,65313,64555,66280
2636:21545,3183,52200,99434,84648,13473,67920,63572,52056,85816
2639:116189,71443,120799,97251,71596,107052,75265,81729,96633,116879
2650:289,2021,3834,90235,36573,97607,18646,104095,33609,49189
2661:16675,8232,11208,210,23430,24218,15413,21030,54908,54577
2663:9580,7103,32473,7027,7553,24484,9181,36680,52774,58511
2666:224,236,3234,6996,1553,7303,50470,41820,21661,57880
2676:1693,699,8868,14176,17626,37862,26005,76978,42817,119473
2689:225,840,4880,5746,92132,96711,78606,118317,25638,77319
2693:118736,3419
2708:1884,709,548,178,42882,48736,98454,32327,50460,71075
2709:14152,10466,22740,5577,51621,11217,5156,70640,87258,83983
2713:185,29046,41511,72442,1901,58957,72307,55190,95763,112177
2715:10267,752,2833,7426,58035,31006,16976,43306,85287,25717
2716:3755,8273,41129,17708,16542,22891,75852,76547,66454,56430
2727:447,5663,8016,13751,13368,10259,22916,77728,82740,56109
2730:3717,28641,33504,67860,43205,21240,88500,84486,122176,78795
2731:2602,7322,24599,32747,122078,23272,79592,82504,75930,23495
2734:2414,4017,6249,3972,683,5550,7104,58209,38506,115266
2735:11563,3328,8211,3982,41414,18143,46184,38992,115391,27089
2737:14234,10957,24913,28700,11007,61584,14133,104318,61175,118519
2745:7178,3001,980,18285,44093,21955,71332,81747,74637,68643
2746:19637,27209,25368,40142,44968,37647,36883,60762,119724,83864
2748:388,1147,12253,10682,17078,6166,8224,34673,35749,122986
2756:650,224,238,1362,1684,10163,2914,85164,102410,94227
2760:429,431,2644,36176,43205,78795,102410,84486,121358,94227
2776:
2799:7454,32665,13055,61789,102997,9176,121023,120983,113056,99108
2802:2935,2868,13523,6455,10021,16625,71089,34616,102410,94227
2803:670,14237,11718,19829,33572,88529,2074,2595,94755,97817
2804:219,16258,14626,12329,20161,107987,18904,42204,99556,80670
2805:14158,4348,69616,65176,119435,79592,82914,58156,23495,108691
2812:2021,8579,8151,26741,12092,52986,108412,58368,27901,30721
2815:463,3191,359,8252,2286,61078,5722,66755,110085,113336
2827:7019,12625,13278,38402,11788,14508,25391,35491,43313,75937
2831:294,5517,18291,84976,82374,62149,43202,53740,108358,111604
2846:236,273,749,1097,6774,12222,35736,64496,102410,94227
2848:4326,332,10825,19264,43205,84486,88401,74191,78795,93962
2853:1081,5550,27420,38736,18850,34823,68624,25669,86461,83814
2854:189,4825,1573,39,701,6434,24581,31850,15368,16900
2857:37464,4051,51669,681,27951,84970,39886,112946,102825,107521
2858:273,749,1097,4833,2394,3183,52200,52056,64496,85927
2861:18218,8995,14019,59259,76253,44407,3907,40124,30580,100920
2871:189,4825,829,6434,24581,79923,15992,16900,106428,97325
